Cod Transaccion;Num. unidades;Valor unidad para las operaciones del dia t;Valor fondo al cierre del dia t;Num. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. ano
216;913485.718;13273.48;12125130793.85;1;7.073992;-11.227948;3.800238;-12.642657
217;3273204.092;13524.83;44269515675.43;10;6.861579;-11.404145;3.594293;-12.816058
218;5704.827;9483.84;54103651.27;1;259.7045;10.823422;92.57894;68.1502
219;57812.049;8345.24;482455564.67;1;257.92114;10.272173;91.62244;67.31448
220;40715.237;7944.05;323443729.63;3;257.92114;10.272172;91.625336;67.31575
221;26959.628;7881.78;212489778.44;16;257.92117;10.272174;91.6198;67.31314
222;28521.35;8208.55;234118976.96;1;259.7045;10.823555;92.5789;68.15016
223;314194.673;11072.18;3478820800.44;10;-9.159917;-16.736506;1.253192;-11.263094
224;146471.654;9815.34;1437668587.12;1;-9.78659;-17.311049;0.554876;-11.87531
225;249644.766;11140.08;2781062215.28;1;-8.97927;-16.570885;1.454491;-11.086614
226;235258.713;10672.62;2510827946.40;26;-9.964059;-17.473757;0.357117;-12.048685
227;4631.484;11602.21;53735465.62;1;-8.432996;-16.07006;2.06321;-10.553743
228;1236174.997;13044.23;16124948452.23;9;8.620982;11.688039;13.025536;13.034807
229;489212.546;12846.69;6284762351.66;273;7.933947;11.041667;11.472147;12.019859
230;2897762.546;12998.22;37665769424.18;99;8.302808;11.401261;12.738107;12.755629
231;1935248.249;12967.25;25094844746.27;244;8.144417;11.250674;12.819179;12.726658
232;649329.719;13724.68;8911843978.57;3;10.9015;14.291986;16.236088;16.405155
233;936887.027;13084.75;12258928423.16;9;8.620982;11.688039;13.025536;13.034807
234;1828880.107;14108.82;25803334715.53;1;10.3499;13.723569;15.658029;15.826259
235;500000;17383.64;8691820960.81;1;21.252998;21.142279;23.73317;27.061499
236;1309263.203;16632.42;21776213580.25;1;19.461948;19.35286;21.905584;25.184889
237;390045.365;15916.83;6208285499.24;4;17.722914;17.615408;20.131075;23.362776
238;2380862.994;15926.06;37917773843.48;111;17.722914;17.615408;20.131075;23.362776
239;353974.407;12042.34;4262680779.33;1;20.47513;10.415404;20.83608;15.626903
240;24389.278;11418.05;278478066.18;17;17.825262;7.986228;18.178295;13.083391
241;172989.085;12329.47;2132863893.74;5;19.578732;9.593657;19.937002;14.766479
242;14447.918;11484.00;165919881.75;2;18.113947;8.250859;18.467833;13.360478
243;66539.655;11519.70;766516915.31;3;18.404028;8.516787;18.758787;13.638922
244;1505971.346;14872.57;22397671222.55;1;19.040297;19.106915;22.612984;25.230875
245;2533603.404;14246.66;36095393659.95;105;16.7519;16.81722;20.25607;22.823772
246;235313.288;14399.09;3388296377.79;5;17.315731;17.381388;20.836796;23.41687
247;96774.844;12386.14;1198666866.39;41;8.924731;11.377902;15.505911;12.724604
248;154710.75;12436.43;1924049366.38;11;9.194289;11.653515;15.791759;13.003565
249;614717.838;12623.71;7760021940.69;1;10.285968;12.769712;16.94921;14.13322
250;173767.21;12086.37;2100213965.76;2;9.465183;11.930493;16.078974;13.283882
251;107608.073;12416.87;1336154965.19;1;14.606123;16.813728;18.977125;20.162897
252;50038.872;11398.84;570384997.40;1;13.769831;15.961372;18.109026;0.0
253;200000;12169.77;2433954251.56;1;16.89738;19.148998;21.355524;0.0
