Cod Transacción;Núm. unidades;Valor unidad para las operaciones del día t;Valor fondo al cierre del día t;Núm. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. año
417;13,199,916.436;$12,879.05;$170,002,412,084.61;8;0.089904;-12.569919;-20.555487;-31.889912
418;37,711,346.863;$171.36;$6,462,083,187.15;3;2.370835;-96.34538;21339.16;-53.653107
419;949,765.538;$2,767.18;$2,628,169,943.85;1;0.138275;-9.682272;2.840813;-10.682933
420;5,130,496.689;$13,111.93;$67,270,699,407.85;1;0.014614;-1.090499;-13.964054;-11.95053
421;1,418,698.287;$11,632.94;$16,503,625,742.17;1;0.014614;-1.090499;-14.470406;-12.229182
422;2,015,622.911;$13,173.70;$26,553,214,248.28;4;0.014614;-1.090499;-14.463094;-12.224977
423;119,656.441;$10,620.28;$1,270,784,665.99;1;0.014614;-1.090499;-14.469739;-12.229092
424;2,337,056.249;$12,267.87;$28,670,695,584.02;1;0.014614;-1.090499;-13.422862;-11.76204
425;210,381.024;$19,229.44;$4,045,509,091.09;1;6.339482;-37.613026;-31.743954;-16.177385
426;613,016.474;$16,955.83;$10,394,202,118.77;1;6.339482;-37.613026;-31.743954;-16.177383
427;6,983.53;$23,560.37;$164,534,557.57;1;6.339482;-37.61302;-31.743954;-16.177383
428;59,261.361;$19,657.76;$1,164,945,593.85;1;-5.879302;-21.84249;-22.177229;-13.603451
429;114,907.656;$19,712.93;$2,265,166,005.39;1;-5.879302;-21.842487;-22.177229;-13.603451
430;44,339.008;$19,657.76;$871,605,560.70;1;-5.879301;-21.842487;-22.177229;-13.603451
431;131,232.263;$19,634.66;$2,576,700,224.28;1;-5.879301;-21.842487;-22.177229;-13.603451
432;152,571.998;$16,415.55;$2,504,553,264.40;1;-5.879302;-21.842487;-22.177229;-13.603451
433;917,000;$17,533.30;$16,078,032,937.50;1;0.048;-1.712683;0.0;0.0
434;10,369,532,322,281.096;$0.01;$69,826,241,165.65;2;0.048;-1.706312;191.93225;125.0747
435;550,080,701,255.615;$0.01;$3,704,110,792.09;1;0.048;-1.70632;191.93262;125.076706
436;0;$10,000.00;$0.00;0;0.0;0.0;0.0;0.0
437;17,446,096.179;$17,533.30;$305,887,577,964.19;1;0.048;-1.712683;0.0;0.0
438;131,188.694;$19,750.49;$2,591,040,835.45;1;16.620539;18.783718;49.330975;24.732216
439;385,435.795;$19,750.49;$7,612,545,421.80;1;16.620539;18.783718;49.330975;24.732216
440;186,156.466;$16,559.29;$3,082,618,024.20;1;21.80578;24.632969;25.989109;25.500326
441;160,003.751;$15,133.90;$2,421,481,293.16;1;21.80578;24.632969;25.989109;25.500326
442;14,133,908.95;$16,558.49;$234,036,240,042.59;1;21.80578;24.632969;25.989109;25.500326
443;397,687.104;$14,683.30;$5,839,359,152.26;10;15.968892;13.780141;7.743402;8.632449
444;0;$10,000.00;$0.00;0;0.0;0.0;0.0;0.0
445;61,210.249;$9,079.10;$555,734,083.27;1;-10.170335;22.04002;-83.54186;-33.689804
446;0;$10,000.00;$0.00;0;0.0;0.0;0.0;0.0
447;1,272,134.383;$9,079.10;$11,549,837,552.55;1;-10.170335;22.04002;-83.54186;-33.689804
448;198,592.182;$8,770.33;$1,741,719,305.69;5;0.024787;-16.691885;-32.677284;-29.005783
449;574,555.152;$8,770.33;$5,039,039,256.57;18;0.024787;-16.691885;-32.677284;-29.005783
450;0;$10,000.00;$0.00;0;0.0;0.0;0.0;0.0
451;259,603.109;$11,750.98;$3,050,591,060.60;1;17.571445;17.297455;18.366716;14.819051
452;5,000;$5,125.21;$25,626,028.93;1;17.571447;-57.153572;-48.679974;-35.977745
453;0;$10,000.00;$0.00;0;0.0;0.0;12.059621;14.549455
454;250,000;$12,169.65;$3,042,413,433.79;1;7.068127;-10.106892;11.424889;14.224577
455;247,300;$12,246.97;$3,028,674,999.64;1;7.068127;-10.106892;11.424889;14.224577
456;82,902.127;$147,400.14;$12,219,784,734.92;1;-2.950363;20.6304;8.746294;34.318344
457;0;$10,000.00;$0.00;0;0.0;0.0;0.0;0.0
458;53,725.789;$11,240.50;$603,904,766.07;1;-2.950364;20.6304;8.746294;0.0
459;597,364.599;$147,400.14;$88,051,623,120.59;1;-2.950363;20.6304;8.746294;34.318344
460;9,930,776.272;$10,774.73;$107,001,404,622.74;3;38.08888;24.177198;30.932302;0.0
461;99,402.559;$10,774.57;$1,071,019,395.87;1;38.08888;24.177198;30.928389;0.0
462;1,000;$10,670.18;$10,670,178.11;1;11.501885;12.226545;11.369895;0.0
463;360,000;$10,670.18;$3,841,264,069.76;1;11.501909;12.226539;11.369892;0.0
464;2,500;$58,220.88;$145,552,211.61;1;0.0;-0.337312;0.0;0.0
465;506,538.12;$58,215.92;$29,488,581,624.78;1;0.0;-0.337313;0.0;0.0
466;13,665,000;$11,104.95;$151,749,184,814.96;2;0.0;-29.851954;0.0;0.0
467;3,548,095.239;$10,604.78;$37,626,775,337.04;241;8.144778;11.101681;13.230417;0.0
468;18,855,953.263;$10,662.16;$201,045,100,862.92;13;9.231402;12.217932;14.367997;0.0
469;23,290,913.146;$10,604.78;$246,952,441,178.55;14538;8.144778;11.101681;13.230417;0.0
470;22,855,655.105;$10,676.55;$244,019,471,829.81;6;9.504755;12.498738;14.654168;0.0
471;65,419,151.456;$10,650.66;$696,756,869,549.50;216;9.013209;11.993791;14.139573;0.0
472;136,175.634;$4,000,062.38;$544,711,032,360.65;84;9.504755;12.498738;14.654168;13.461135
473;27,997,715.797;$10,633.43;$297,711,749,761.18;56;8.686736;11.658416;13.79779;0.0
474;16,117,655.947;$10,604.78;$170,924,222,269.51;1496;8.144778;11.101681;13.230417;0.0
475;39,821,953.632;$10,633.43;$423,443,954,526.10;60;8.686736;11.658416;13.79779;0.0
476;29,916,593.076;$10,621.96;$317,772,897,157.49;664;8.469628;11.435389;13.570501;0.0
477;231.48;$10,009.20;$2,316,923.89;1;8.686506;0.0;0.0;0.0
478;39,091.7;$1,420,863.68;$55,543,977,003.29;485;9.806262;9.531081;14.045393;12.726945
479;1,107,950.752;$2,877.20;$3,187,793,059.94;92;5.383967;14.894806;21.824837;13.801941
480;27,373,495.065;$3,063.43;$83,856,828,566.74;170;8.851562;11.007467;13.019151;11.934629
